analysis,treated_repo,treated_pr_number,treated_outcome,treated_ps,control_repo,control_pr_number,control_outcome,control_ps,ps_distance
specs → SZZ bugs,kubernetes/kubernetes,135824,False,0.04851011109526828,ray-project/ray,57993,False,0.04850358268783485,0.0001414485626995976
specs → SZZ bugs,microsoft/vscode,291780,False,0.04858513519341927,continuedev/continue,9042,False,0.04858564548219489,1.1039273758672863e-05
specs → SZZ bugs,microsoft/vscode,291227,False,0.04859300111171285,prefecthq/prefect,18994,False,0.04859273685775797,5.715872759104457e-06
specs → SZZ bugs,continuedev/continue,8928,False,0.0486306446569207,mlflow/mlflow,21567,False,0.04863330258083733,5.7447627650919486e-05
specs → SZZ bugs,promptfoo/promptfoo,6673,False,0.04865016184122048,novuhq/novu,9771,True,0.04864676793072845,7.333144126420166e-05
specs → SZZ bugs,microsoft/vscode,290592,False,0.04888122331505693,open-webui/open-webui,22460,False,0.048879811386160744,3.036980160731062e-05
specs → SZZ bugs,n8n-io/n8n,24992,False,0.049298051634125914,lobehub/lobe-chat,12912,False,0.049298848825299196,1.7009244061227946e-05
specs → SZZ bugs,promptfoo/promptfoo,7674,False,0.049341011522519004,openmrs/openmrs-core,5441,False,0.049337462178749264,7.567110355433115e-05
specs → SZZ bugs,calcom/cal.com,28096,False,0.04943411883362758,stanfordnlp/dspy,8398,False,0.04943446434187345,7.352718828013138e-06
specs → SZZ bugs,kubernetes/kubernetes,136770,False,0.049490305794817675,zephyrproject-rtos/zephyr,101821,False,0.049490758308958376,9.619524058646078e-06
specs → SZZ bugs,n8n-io/n8n,26287,False,0.049509329826508734,zephyrproject-rtos/zephyr,102884,False,0.04950805697172456,2.7048877393021087e-05
specs → SZZ bugs,kubernetes/kubernetes,136746,False,0.04955076307630465,astral-sh/uv,16863,False,0.04954850043567573,4.80447244344262e-05
specs → SZZ bugs,microsoft/vscode,290455,False,0.04958655408203495,biomejs/biome,7642,False,0.04958532017931113,2.618240544283168e-05
specs → SZZ bugs,apache/arrow,48165,False,0.04968701055293213,dagster-io/dagster,31966,False,0.0496853312290914,3.5565742154908264e-05
specs → SZZ bugs,astral-sh/ruff,23724,False,0.049700688910611635,ray-project/ray,59331,False,0.04969888839100604,3.812259777902227e-05
specs → SZZ bugs,cli/cli,11714,False,0.04970080422813087,oxc-project/oxc,14623,True,0.0496968044065033,8.469024876189835e-05
specs → SZZ bugs,denoland/deno,31968,False,0.04973770715374247,ray-project/ray,58420,False,0.049730460881878547,0.00015332583852289972
specs → SZZ bugs,dotnet/aspire,15163,False,0.049776840968444425,BerriAI/litellm,19327,False,0.04977864048960995,3.804491149406175e-05
specs → SZZ bugs,microsoft/vscode,302431,False,0.04989315659711873,dmlc/xgboost,11606,False,0.04989200099595418,2.4378069374719757e-05
specs → SZZ bugs,django/django,20350,False,0.04995601064091173,n8n-io/n8n,26829,False,0.04995530888567389,1.4786217449547223e-05
specs → SZZ bugs,microsoft/vscode,290303,False,0.04996933709203602,oxc-project/oxc,16588,True,0.04996829866587143,2.1874527803333876e-05
