repo,pr_number,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
liam-hq/liam,3957,1,1,3,0.1246,171,170,23770,0,22,11.31,1518,765,197,0
liam-hq/liam,3956,2,2,2,0.65,6,6,23494,0,25,0.02,1601,557,177,0
liam-hq/liam,3955,2,2,2,0.65,6,6,23494,0,25,4.25,1599,556,176,0
liam-hq/liam,3953,1,3,8,2.6716,217,159,272,0,9,53.3,33,92,21,0
liam-hq/liam,3952,1,3,5,1.6258,6,6,129,0,3,0.76,11,92,23,0
liam-hq/liam,3951,1,1,2,0.4395,11,0,107,1,2,0.93,5,92,23,0
liam-hq/liam,3948,1,11,18,3.5733,698,146,3882,0,15,5.73,126,762,224,0
liam-hq/liam,3947,1,6,13,3.0396,342,101,287,0,3,3.36,20,519,135,0
liam-hq/liam,3946,1,6,8,0.6061,946,14,257,0,11,1.53,64,92,23,0
liam-hq/liam,3945,1,2,2,0.4395,9,2,384,1,7,16.29,41,518,142,0
liam-hq/liam,3944,1,3,6,1.6093,59,22,448,0,5,10.09,35,518,142,0
liam-hq/liam,3943,2,3,5,1.3492,114,182,922,0,5,14.4,84,92,21,0
liam-hq/liam,3941,1,9,14,3.2774,246,8,1799,0,8,11.5,186,518,142,0
liam-hq/liam,3938,1,1,2,0.9868,9,65,373,0,2,5.79,6,519,134,0
liam-hq/liam,3937,1,6,11,2.6659,11,352,851,0,12,12.94,170,11,2,0
liam-hq/liam,3934,2,7,7,2.4269,5,74,24112,0,23,0.59,1696,92,23,0
liam-hq/liam,3933,3,95,100,6.5466,1486,1597,8462,0,14,49.96,263,11,2,0
liam-hq/liam,3932,1,13,22,3.8444,87,85,1809,0,11,10.48,217,518,147,0
liam-hq/liam,3930,1,8,19,2.2159,13,17,135,0,10,62.32,41,518,147,0
liam-hq/liam,3929,1,1,1,0.0,14,24,160,0,3,8.12,5,518,147,0
liam-hq/liam,3928,1,5,5,1.8635,26,27,528,0,7,47.68,36,744,210,0
liam-hq/liam,3925,1,4,6,1.7585,46,7,171,0,4,26.96,29,765,197,0
liam-hq/liam,3924,1,45,88,4.8853,1150,1101,2660,0,13,66.28,256,11,2,0
liam-hq/liam,3923,2,2,6,0.6631,401,1,23487,0,23,27.98,1501,744,210,0
liam-hq/liam,3922,1,6,10,2.5913,290,3,415,0,6,34.6,18,11,2,0
liam-hq/liam,3921,1,6,11,2.5698,668,2,435,0,6,0.15,21,92,23,0
liam-hq/liam,3920,1,2,2,1.0,6,6,140,1,4,14.01,6,92,23,0
liam-hq/liam,3919,1,3,9,2.8385,135,36,94,0,6,19.95,31,518,149,0
liam-hq/liam,3916,1,5,14,3.2269,356,21,190,0,11,12.19,63,518,152,0
liam-hq/liam,3914,1,3,8,2.1926,230,39,266,0,10,23.95,54,518,152,0
liam-hq/liam,3913,1,2,2,0.8113,4,4,202,1,8,21.54,29,518,149,0
liam-hq/liam,3912,1,1,1,0.0,5,0,119,0,4,22.21,19,11,2,0
liam-hq/liam,3910,1,2,2,1.0,27,5,15,0,4,30.6,16,92,24,0
liam-hq/liam,3909,1,1,1,0.0,3,8,99,1,2,0.04,4,11,2,0
liam-hq/liam,3904,1,10,30,2.0912,383,5,380,0,16,11.14,88,517,151,0
liam-hq/liam,3902,1,2,7,nan,74,53,0,0,0,0.0,0,0,0,0
liam-hq/liam,3900,1,1,2,0.9947,17,18,22,0,3,11.04,13,517,151,0
liam-hq/liam,3898,1,1,1,0.0,842,936,23502,0,22,1.05,1318,763,225,0
liam-hq/liam,3897,2,3,4,1.896,38,11,280,0,2,10.87,31,736,202,0
liam-hq/liam,3896,1,1,1,0.0,2,4,121,1,5,6.68,18,92,24,0
liam-hq/liam,3895,1,2,7,2.3224,116,95,342,0,7,3.57,40,11,2,0
liam-hq/liam,3893,1,1,1,0.0,10,17,96,0,1,3.21,1,92,24,0
liam-hq/liam,3892,1,1,1,0.0,94,138,18742,0,9,9.12,165,92,23,0
liam-hq/liam,3891,2,2,2,0.2006,32,32,23321,1,22,2.56,1354,518,148,0
liam-hq/liam,3890,2,2,2,0.65,6,6,23305,0,22,0.66,1342,552,188,0
liam-hq/liam,3888,2,2,2,0.0509,167,182,23321,1,22,0.75,1436,505,139,0
liam-hq/liam,3887,2,2,2,0.65,6,6,23308,1,23,0.75,1334,505,139,0
liam-hq/liam,3886,2,2,2,0.65,6,6,23288,1,22,0.25,1350,549,189,0
liam-hq/liam,3884,2,2,2,0.5226,34,34,23326,1,22,0.75,1648,724,204,0
liam-hq/liam,3883,1,1,1,0.0,1,1,25,0,4,195.96,7,505,139,0
liam-hq/liam,3882,1,1,1,0.0,1,1,59,0,12,1.51,167,724,204,0
liam-hq/liam,3881,2,16,17,0.3424,710,710,24055,0,25,3.41,2943,546,186,0
liam-hq/liam,3880,2,2,2,0.9183,3,3,23290,0,22,1.19,1336,724,204,0
liam-hq/liam,3879,2,3,3,0.4895,42,11,23350,1,22,2.37,1497,505,139,0
liam-hq/liam,3878,2,2,2,0.65,6,6,23305,0,22,0.67,1336,543,183,0
liam-hq/liam,3877,2,2,2,0.65,6,6,23290,0,22,0.07,1329,543,183,0
liam-hq/liam,3876,2,4,4,0.2142,106,126,23452,0,22,3.5,1794,541,181,0
liam-hq/liam,3875,1,1,2,1.0,2,2,275,0,8,8.92,85,505,139,0
liam-hq/liam,3874,1,3,4,1.9787,114,165,910,0,5,2.69,32,11,2,0
liam-hq/liam,3873,1,1,1,0.0,2,2,88,1,2,10.16,12,92,26,0
liam-hq/liam,3872,1,1,4,1.7836,38,20,237,1,5,79.92,13,92,24,0
liam-hq/liam,3856,2,4,11,3.1687,38,33,1780,0,23,12.3,813,92,20,0
liam-hq/liam,3869,1,5,13,2.3609,44,116,1315,0,9,25.09,197,735,202,0
liam-hq/liam,3864,1,12,34,3.8094,1195,104,604,0,17,42.22,99,517,151,0
liam-hq/liam,3827,1,7,13,2.5209,262,203,800,0,4,21.84,80,92,24,0
liam-hq/liam,3853,1,2,6,1.8664,177,5,3068,1,5,53.8,56,92,24,0
liam-hq/liam,3870,1,1,1,0.0,59,16,336,1,3,2.95,12,514,148,0
liam-hq/liam,3825,1,5,8,2.7608,66,76,837,0,8,20.37,78,724,204,0
liam-hq/liam,3871,1,1,1,0.0,264,0,0,1,0,0.0,0,11,2,0
liam-hq/liam,3867,1,1,1,0.0,359,17,146,0,2,14.73,13,92,26,0
liam-hq/liam,3863,1,7,18,3.3251,154,69,378,0,4,123.33,15,92,26,0
liam-hq/liam,3806,1,5,11,2.8158,96,126,410,0,10,85.07,63,92,26,0
liam-hq/liam,3865,2,2,2,0.735,120,1,143,0,3,70.99,8,11,2,0
liam-hq/liam,3854,2,3,5,0.6713,1321,0,81,0,8,24.24,44,91,25,0
liam-hq/liam,3848,1,2,2,0.8338,9,25,2533,0,3,0.98,6,11,2,0
liam-hq/liam,3849,1,1,1,0.0,1,1,288,0,2,128.79,2,11,2,0
liam-hq/liam,3862,1,13,16,3.7071,89,192,2264,1,14,45.87,256,90,24,0
liam-hq/liam,3859,1,2,2,0.4489,28,4,216,1,7,2.05,30,90,24,0
liam-hq/liam,3860,1,4,4,1.7298,31,28,392,0,12,14.51,111,503,137,0
liam-hq/liam,3843,1,2,10,2.8045,452,51,375,0,3,21.82,32,503,137,0
liam-hq/liam,3818,2,2,2,0.3912,7,19,23336,0,22,1.19,1331,11,2,0
liam-hq/liam,3830,2,2,2,0.0575,262,40,23156,0,25,1.54,1570,719,202,0
liam-hq/liam,3846,1,3,3,0.5204,6,925,4286,0,10,1.9,50,502,136,0
