repo,n_prs,mean_jit_risk,median_jit_risk,mean_engagement_density,mean_jit_size,mean_jit_spread,mean_jit_churn,n_specd,n_unspeqd,specd_mean_risk,unspeqd_mean_risk,engagement_risk_rho,engagement_risk_p
novuhq/novu,867,0.12025303739219528,0.104840973211553,0.037300423106895665,1536.0991926182237,13.844290657439446,0.3401162826142691,0,867,,0.12025303739219528,-0.04507196600725967,0.18487379374701027
nushell/nushell,93,0.09353427293100318,0.08937633676361928,1.6196341864696249,293.9247311827957,8.408602150537634,0.28890186182909156,0,93,,0.09353427293100318,-0.17395083075447249,0.09540064845777298
ollama/ollama,1023,0.08312829084586704,0.07047232743094958,1.119485828666399,1163.661779081134,6.264907135874878,0.26741219958516893,0,1023,,0.08312829084586704,0.03261655668976972,0.29730879800709226
open-webui/open-webui,1561,0.092347901185592,0.09196751179072592,0.1200211589057763,427.57270980140936,5.327354260089686,0.314455025416948,0,1561,,0.092347901185592,0.002155055265327001,0.9322001499046699
openmrs/openmrs-core,447,0.10265300065357365,0.08666741196545606,0.15452887435188473,488.91498881431767,4.467561521252796,0.3635287549259978,0,447,,0.10265300065357365,-0.019709890251722352,0.6777119149507159
oven-sh/bun,268,0.0818877605383767,0.07562375418120999,2.005839377968105,771.9402985074627,5.649253731343284,0.26916298893049245,0,268,,0.0818877605383767,0.04200387866797565,0.4935198397428746
oxc-project/oxc,4333,0.09342360877139916,0.08730674185559191,1.6457088295221536,555.8783752596354,5.235864297253635,0.31957243740276514,0,4333,,0.09342360877139916,-0.14449204808297908,1.1922108028423305e-21
phoenixframework/phoenix,297,0.09286156566764266,0.10048100297269405,0.3842023135408395,206.73063973063972,2.461279461279461,0.34488771061706697,0,297,,0.09286156566764266,-0.09772687291415104,0.09273988512304503
pingcap/tidb,427,0.07907342923450908,0.05580338360641487,2.5165644616626577,4010.6604215456673,9.716627634660421,0.21481867766464519,0,427,,0.07907342923450908,-0.03499860470212404,0.470717925625756
pnpm/pnpm,418,0.09179472622362654,0.05961507520039433,0.10264431270089676,642.366028708134,12.681818181818182,0.23876567845303015,0,418,,0.09179472622362654,-0.04515778744054124,0.3570721998219831
prefecthq/prefect,1227,0.06149778098997377,0.041186090681979245,1.4621012721563775,385.2493887530562,4.679706601466993,0.19811687684542417,0,1227,,0.06149778098997377,-0.14069544806940054,7.499265862159983e-07
prometheus/prometheus,530,0.08385808263750183,0.08657216054096167,3.544143841012936,333.8754716981132,5.166037735849057,0.2822722265406113,0,530,,0.08385808263750183,-0.19383811624077601,6.968415306680028e-06
promptfoo/promptfoo,1459,0.09087910794078631,0.10146218512286757,0.29331765471477955,428.77998629198083,5.677861549006169,0.30522773557451693,1367,92,0.09138302773151918,0.08339151713717956,-0.09964738447662834,0.00013759779833253521
pydantic/pydantic,425,0.08824902945952437,0.08666741196545606,1.3875742738363948,416.18823529411765,4.430588235294118,0.30579077866280663,0,425,,0.08824902945952437,-0.06500352639184377,0.18104309827601817
pytest-dev/pytest,486,0.08338163780921375,0.08666741196545606,2.180146808164049,80.48971193415638,3.948559670781893,0.29201315780268744,0,486,,0.08338163780921375,-0.111625447843156,0.013809111736871242
python/cpython,103,0.060184852961953306,0.05213803983140286,0.02588996763754045,135.95145631067962,3.3883495145631066,0.2053365211793355,0,103,,0.060184852961953306,0.06495101094027836,0.514514227031723
qdrant/qdrant,1563,0.10062096152172263,0.1089655512208335,1.3145313533787117,254.07421625079974,6.209213051823417,0.33896757167876496,0,1563,,0.10062096152172263,-0.03533189660573488,0.16266702356655985
quarkusio/quarkus,1944,0.09128015839350147,0.08666741196545606,2.481525946999915,207.9480452674897,7.051440329218107,0.2927156580373095,0,1944,,0.09128015839350147,-0.08172312328113267,0.00030981016421070416
rails/rails,1059,0.07321407461643663,0.07552619947945774,1.0345144912958695,94.78564683663834,3.2936732766761097,0.2581841718791772,0,1059,,0.07321407461643663,-0.11787450101700842,0.00012065785288751661
ray-project/ray,4611,0.09402794988944173,0.08666741196545606,42.397162269207584,370.0689655172414,6.060507482108003,0.3139762302097653,0,4611,,0.09402794988944173,-0.11667890481666389,1.8952198868010855e-15
redis/redis,495,0.07261629537246088,0.0761105826736218,10.527056780964706,229.91313131313132,4.42020202020202,0.24465916710401026,0,495,,0.07261629537246088,-0.06536733786699397,0.1464437486833458
refinedev/refine,355,0.13067906816197813,0.10600125210158223,0.2319355202415541,2294.788732394366,21.301408450704226,0.30144700269630453,0,355,,0.13067906816197813,-0.16035587599332102,0.002442999509844794
remix-run/remix,326,0.11059316437880697,0.09849818708166685,0.09967727711239249,976.4693251533743,14.938650306748466,0.2910034053036932,0,326,,0.11059316437880697,0.03310596717537697,0.5514350766148493
run-llama/llama_index,581,0.0796947145466653,0.06111309857294973,0.3509226448324924,1522.7796901893287,6.122203098106713,0.25330392048140576,0,581,,0.0796947145466653,-0.14520318217764774,0.0004463303014377259
rust-lang/rust,499,0.12900412303980557,0.11666885287516907,3.9218108252155126,404.2024048096192,16.08817635270541,0.353633006028794,0,499,,0.12900412303980557,-0.18102965573703927,4.7538889719843886e-05
shadcn-ui/ui,7,0.1469851797680369,0.11841901499994686,0.0,7226.714285714285,25.714285714285715,0.3236069510621305,0,7,,0.1469851797680369,,
square/okhttp,148,0.0894913974395076,0.08666741196545606,0.18940502262828202,82.32432432432432,3.3986486486486487,0.3215670552861469,0,148,,0.0894913974395076,-0.22105273902887385,0.006935929935591117
stanfordnlp/dspy,570,0.07728673976738631,0.0700133959470635,0.7989883904321108,175.7280701754386,3.794736842105263,0.26972785811866506,0,570,,0.07728673976738631,-0.15309266093963284,0.000243823573538115
strapi/strapi,501,0.10080268272595928,0.08666741196545606,2.375206489963759,726.1057884231537,12.688622754491018,0.27471416134834425,0,501,,0.10080268272595928,-0.2880843579834526,4.9667772718435625e-11
streamlit/streamlit,536,0.09690636902488124,0.08666741196545606,6.42571528697866,261.83768656716416,10.453358208955224,0.2665285898615819,0,536,,0.09690636902488124,-0.06580212659049321,0.12812886020789388
stripe/stripe-ios,1222,0.11616300311290752,0.08666741196545606,0.2800385971661182,3903.8109656301144,16.388707037643208,0.29496564815378223,0,1222,,0.11616300311290752,-0.10306959694769728,0.00030744608663925026
supabase/supabase,97,0.09415354287430142,0.09425681202450402,0.0494333177353534,360.2061855670103,5.11340206185567,0.3243199204241736,0,97,,0.09415354287430142,0.026795462301344868,0.7944547433079462
sveltejs/svelte,498,0.08905396974869711,0.08666741196545606,0.4648301955866303,107.92570281124497,6.399598393574297,0.29074800553201147,0,498,,0.08905396974869711,-0.11306697904511011,0.011571350235335747
tailwindlabs/tailwindcss,204,0.09191736323319762,0.10107843217287218,0.23593558188371908,238.59803921568627,4.818627450980392,0.318340878789079,0,204,,0.09191736323319762,-0.16012795997158222,0.022148367919496568
temporalio/temporal,514,0.08582696345463924,0.08000764080693692,0.9309394768267584,308.38715953307394,6.463035019455253,0.2774454569941997,0,514,,0.08582696345463924,-0.07259300151045375,0.10018451280450288
tikv/tikv,286,0.07000019222047106,0.0653677135854892,0.557531837886494,605.3041958041958,8.671328671328672,0.19202584784341453,0,286,,0.07000019222047106,-0.008599750663307211,0.8848682032182618
